Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,FUZZY_LOGIC,50,797.5,0.1614,0.7,0.0001,4940,4940,0,0,0,0,0,540,540,4400,4400,0,0,28.959999999999944,11.663999999999776,28.959999999999944,6164.000000000651,0.0,0.0,1267.2064777327935,0.208,0.3266,6.3306,0,34.4096,0.6617,3.249,3.249,18.8576,18.8576,12.303,0.2461,1.1108,0,3.1524,4.2632,0,0,0,33.4829,99.0982,-1.0,[99.06156183703705- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 99.06156183703705- 98.30042014814815- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL,FUZZY_LOGIC,100,1610,0.1586,98.9,0.0097,10150,10150,0,0,0,0,0,1050,1050,9100,9100,0,0,60.78153846153277,22.67999999999947,60.78153846153277,12712.000000000722,0.0,0.0,1268.9655172413793,0.2242,0.6351,13.2661,0,51.6926,0.5068,6.3175,6.3175,20.6493,20.6493,24.7258,0.2473,2.1599,0,6.6171,8.7771,0,0,0,33.4824,99.0957,-1.0,[98.93955828148148- 99.06156183703705- 99.06156183703705- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.30042014814815- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL,FUZZY_LOGIC,150,2409.75,0.1597,481.6125,0.0319,15090,15009,0,81,0,0,0,1590,1590,13498,13419,2,0,89.7415384615074,34.34399999999993,89.7415384615074,18876.000000000102,0.0,0.0,1268.389662027833,0.2245,0.9617,19.5927,0.0011,68.8814,0.4532,9.5665,9.5665,22.2837,22.2837,37.0312,0.2469,3.2707,0,9.7703,13.041,0,0,0,33.4772,99.0677,-1.0,[98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 99.06156183703705- 99.06156183703705- 98.93955828148148- 98.93955828148148- 99.06156183703705- 99.06156183703705- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.93955828148148- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL,FUZZY_LOGIC,200,3220,0.1586,1111.6,0.0548,20300,19650,0,650,0,0,0,2100,2100,18200,17550,0,0,121.5630769230161,45.36000000000325,121.5630769230161,25423.999999999356,0.0,0.0,1268.9655172413793,0.2279,1.2702,26.5323,0,86.1629,0.4265,12.635,12.635,24.0764,24.0764,49.4515,0.2473,4.3198,0,13.2343,17.5541,0,0,0,33.4776,99.0702,-1.0,[99.06156183703705- 98.30042014814815- 99.06156183703705- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 99.06156183703705- 98.93955828148148- 99.06156183703705- 99.06156183703705- 98.30042014814815- 98.93955828148148- 98.93955828148148- 99.06156183703705- 99.06156183703705- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.93955828148148- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL,FUZZY_LOGIC,250,4017.5,0.1592,1932.0125,0.0765,25240,23510,0,1730,0,0,0,2640,2640,22600,20870,0,0,150.52307692305502,57.02400000000675,150.52307692305502,31587.999999998785,0.0,0.0,1268.621236133122,0.2267,1.5968,32.8629,0,103.3503,0.4101,15.884,15.884,25.7118,25.7118,61.7545,0.247,5.4306,0,16.3867,21.8173,0,0,0,33.4728,99.0444,-1.0,[98.30042014814815- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.30042014814815- 99.06156183703705- 99.06156183703705- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.93955828148148- 99.06156183703705- 99.06156183703705- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.30042014814815- 98.93955828148148- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL,FUZZY_LOGIC,300,4831.9875,0.1587,2980.6625,0.0979,30450,26648,0,3802,0,0,0,3150,3150,27296,23498,4,0,182.34461538465715,68.04000000000741,182.34461538465715,38135.999999997344,0.0,0.0,1268.9655172413793,0.2295,1.9052,39.7921,0.0004,120.6349,0.3995,18.9525,18.9525,27.5019,27.5019,74.1806,0.2473,6.4797,0,19.8525,26.3323,0,0,0,33.4778,99.0711,-1.0,[98.93955828148148- 98.30042014814815- 98.30042014814815- 99.06156183703705- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.93955828148148- 99.06156183703705- 98.93422999407409- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 99.06156183703705- 99.06156183703705- 98.93955828148148- 98.93955828148148- 99.06156183703705- 99.06156183703705- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.30042014814815- 99.06156183703705- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.93955828148148- 99.06156183703705- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93422999407409- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.30042014814815- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL, ROUND_ROBIN,50,1646.8,0.3334,0,0,4940,4863,0,77,0,0,0,2312,2312,2251,2251,377,300,14.173353846152672,25.349680000000358,14.173353846152672,5471.880000000532,0.0,0.0,1150.9669101847874,0.9631,0.2734,3.6437,0.8968,33.2144,0.6387,2.7194,2.7194,18.1635,18.1635,12.3315,0.2466,2.4493,0,1.58,4.0294,0,0,0,33.4813,99.0897,-1.0,[98.30520129777778- 99.04314814814815- 98.30998244740742- 99.04314814814815- 99.06210995051852- 98.32432589629629- 99.04314814814815- 99.04314814814815- 99.06242315822223- 98.69541062814817- 99.04314814814815- 98.32910704592592- 99.04314814814815- 99.04314814814815- 99.06156183703705- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL, ROUND_ROBIN,100,3280.725,0.3232,0.5875,0.0001,10150,9813,0,337,0,0,0,4334,4334,4250,4250,1566,1229,41.24473846153724,37.90392000000149,41.24473846153724,11440.260000000893,0.0,0.0,1163.6106157557956,0.9634,0.4093,8.6405,0.8447,49.158,0.4819,4.0714,4.0714,19.4544,19.4544,25.6322,0.2563,3.6575,0,4.8294,8.4869,0,0,0,33.4597,99.0296,-1.0,[98.74336521481483- 99.04314814814815- 99.04314814814815- 99.06336278133334- 98.34105992- 98.30281072296297- 99.04314814814815- 99.06328447940743- 99.04314814814815- 99.06320617748148- 99.04314814814815- 99.04314814814815- 98.32587020948148- 98.74336521481483- 98.76318833837037- 99.04085115229631- 99.04314814814815- 99.04314814814815- 98.29788136325926- 98.74336521481483- 98.34105992- 98.0006372148148- 99.04314814814815- 99.00890537837037- 99.04314814814815- 98.3386693451852- 99.06304957362964- 98.35301279407408- 98.30520129777778- 98.93955828148148- 99.47904310003955- 99.3309282423883- 99.47904310003955- 99.47904310003955- 99.47743377263741- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 98.8676213518189- 98.86557646302886- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL, ROUND_ROBIN,150,5443.2375,0.3607,7.1,0.0005,15090,14311,0,779,0,0,0,5090,5090,5685,5685,4315,3536,73.8424615384516,42.40640000000235,73.8424615384516,17300.20000000013,0.0,0.0,1192.909741216074,1.2051,0.475,10.001,1.1154,65.6944,0.4322,4.7251,4.7251,19.8058,19.8058,41.1635,0.2744,4.089,0,9.3056,13.3946,0,0,0,33.4261,98.9614,-1.0,[98.30281072296297- 98.30281072296297- 98.98237795259261- 98.73090540622223- 98.36257509333333- 98.34584106962963- 98.93605234044443- 99.04314814814815- 98.74336521481483- 98.35301279407408- 99.04314814814815- 98.74336521481483- 99.04314814814815- 98.34823164444445- 99.05829768503703- 98.04844871111109- 99.04314814814815- 98.34584106962963- 98.33573163259258- 99.04314814814815- 98.63977534814815- 99.0401257851852- 99.04314814814815- 98.93617323496296- 99.0635193851852- 99.04314814814815- 99.04314814814815- 99.04036757422223- 99.04314814814815- 98.76373645185186- 98.74336521481483- 99.00843556681481- 98.74336521481483- 98.3697468177778- 98.7956945214815- 98.30281072296297- 99.057956192- 99.0635193851852- 97.70085428148148- 98.97105925303704- 99.05834770162963- 99.06336278133334- 99.04314814814815- 98.93955828148148- 98.30281072296297- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 98.86557646302886- 99.3309282423883- 99.32911774906088- 99.3309282423883- 99.47904310003955- 99.47904310003955- 98.8676213518189- 99.47904310003955- 99.47904310003955- 98.86557646302886- 99.47904310003955- 99.32905069375248- 98.8676213518189- 99.47904310003955- 99.3309282423883- 99.3309282423883- 99.32911774906088- 99.3309282423883- 99.47904310003955- 98.8676213518189- 99.47743377263741- 98.2521098260182- 99.3309282423883- 99.47904310003955- 98.8676213518189- 99.47904310003955],[]
ALL, ROUND_ROBIN,200,8571.7375,0.4223,21.525,0.0011,20300,18883,0,1417,0,0,0,6896,6896,6755,6755,6649,5232,97.38763076920677,62.35040000000303,97.38763076920677,23619.289999999255,0.0,0.0,1191.509780271645,1.6627,0.6256,11.0308,1.5932,82.5742,0.4088,6.2232,6.2232,20.0719,20.0719,56.2791,0.2814,6.0222,0,12.6386,18.6608,0,0,0,33.4142,98.908,-1.0,[98.30505820740741- 98.3554033688889- 98.33999241481483- 98.34296691674075- 98.74336521481483- 98.7632102811852- 98.35062221925926- 99.06430240444445- 99.04290635911113- 99.04314814814815- 99.04000489066668- 98.29509186074074- 99.04314814814815- 98.28976357333333- 99.06359768711111- 98.33758129451851- 98.07474503407407- 98.34823164444445- 99.03249157333335- 98.29748243555555- 98.30520129777778- 99.04169741392593- 99.06422410251852- 99.06398919674075- 98.76428456533334- 98.95256726222222- 98.76301108474075- 99.06430240444445- 98.93822844177778- 98.05083928592592- 98.35909024296296- 99.06287232000001- 98.29748243555555- 99.04314814814815- 98.63977534814815- 99.06430240444445- 99.06398919674075- 98.35779394370371- 98.98986527407408- 97.97788467555556- 99.04314814814815- 98.07474503407407- 98.93422999407409- 99.06375429096298- 98.0027860005926- 98.74336521481483- 98.87797123851854- 98.93556876237038- 98.30281072296297- 98.63444706074074- 98.29618884- 98.74336521481483- 98.04605813629628- 99.04314814814815- 99.0638325928889- 99.04314814814815- 99.0635193851852- 98.10446319674075- 99.05965635081483- 98.34892969600001- 98.26233426996838- 98.8676213518189- 98.8676213518189- 99.47904310003955- 99.47904310003955- 99.47676321955318- 99.47904310003955- 99.47904310003955- 99.47823843633847- 98.26028938117834- 99.47904310003955- 99.47904310003955- 99.47662910893634- 99.18281338473705- 99.3309282423883- 98.86557646302886- 98.86966624060892- 99.47904310003955- 98.71746160537762- 99.47904310003955- 99.3309282423883- 99.47716555140373- 99.47904310003955- 99.47904310003955- 99.47669616424476- 99.3309282423883- 99.47904310003955- 99.47656205362792- 98.86557646302886- 99.47890898942269- 99.47904310003955- 99.3309282423883- 99.47669616424476- 99.18281338473705- 99.3309282423883- 99.47904310003955- 99.47904310003955- 99.47904310003955- 98.26233426996838- 99.4768302748616],[]
